Steliara — данные рабочего экрана: что нужно астрологу (отметьте колонки E–G),,,,,,,,,,,
"Инструкция: колонки E–G — исходные отметки астролога. QA-колонки справа подсказывают, где открыть функцию, что сделать, какой результат ожидать и на какой карте удобнее проверить.",,,,,,,,,,,
Категория,Параметр / данные,Что это и зачем астрологу,Статус (у нас),Нужно нам? (Да/Нет/?),Приоритет (1-3),Комментарий,Проверено по коду,Где проверить в интерфейсе,Как проверить астрологу,Ожидаемый результат / примечание,Тестовая карта / пример для проверки
,Деклинационные аспекты (параллели),Аспекты по склонению,Есть,,,,Да,Рабочий экран карты → настройки отображения колеса → включить “Параллели (склонение)”.,Включите настройку “Параллели (склонение)”. На колесе должны появиться пунктирные линии между планетами: зелёные для параллелей и янтарные для контрпараллелей.,"Параллели/контрпараллели считаются по declination с орбом 1°. Это отдельный overlay, не обычные долготные аспекты.","Лучше карта с известной parallel/contra-parallel парой. Если линий нет, взять карту с близкими склонениями двух планет."
3. Тайминг,,,,,,,,,,,
,"Транзиты к наталу + орб, app/sep",Активные транзиты,Есть,,,,,,,,Любая сохранённая натальная карта; выбрать дату прогноза.
,Даты exact + вход/выход орба,Точные даты и периоды действия,Есть,,,,,,,,"Любая карта с активным транзитом; выбрать период, где аспект входит/выходит из орба."
,Станции (даты R/D),Даты разворотов планет,Есть,,,,,,,,Период вокруг известной ретроградности Mercury/Mars/Jupiter.
,Ингрессии,Вход планет в знаки/дома,Есть,,,,,,,,"Любая карта; выбрать период, где планета переходит в знак/дом."
,Луна: знак / дом / фаза,Фаза Луны как отдельная сущность,Есть,Да,3,,Да,Рабочий экран карты → блок/угол “Луна”.,"Откройте рабочий экран. В блоке “Луна” проверьте текущую фазу Луны, процент освещённости, знак/градус и ближайшую лунацию.","Это блок “момент сейчас”, не свойство натальной карты; меняется от текущей даты/времени.",Любая карта или рабочий экран; блок зависит от выбранного/current момента.
,Void of Course (Луна без курса),Окна VOC с точным временем,Есть,Да,3,,Да,Рабочий экран карты → блок “Луна”.,"В блоке “Луна” посмотрите строку VOC / “Луна без курса”. Если Луна уже без курса, должен быть указан период; если нет — ближайший последний аспект до выхода из знака.",Время зависит от текущего момента; для проверки можно менять дату/время рабочего экрана.,"Лучше момент, где Луна реально VOC; если не VOC, блок должен показать ближайший последний аспект до выхода из знака."
,"Затмения, новолуния / полнолуния","Ближайшие, с градусом",Есть,Да,1,,Да,Рабочий экран карты → блок “Луна” → список ближайших лунаций.,Проверьте список ближайших новолуний/полнолуний. Для затмений рядом должен быть тип: солнечное или лунное.,Список строится от текущего момента; количество событий ограничено в блоке.,Любая карта; выбрать текущую дату и проверить ближайшие лунации. Для затмения взять период около известного eclipse season.
,Planetary hours / управитель дня / лунные дни,Для электив/хорар,Есть,Да,3,,Да,Рабочий экран карты → блок/угол “Часы”.,"Откройте блок “Часы”. Проверьте управителя дня, текущий планетный час, таблицу часов на сутки и лунный день.",Для корректности нужны координаты места; блок относится к текущему моменту/локации.,"Любая карта с координатами места или выбранная локация; результат зависит от даты, времени и координат."
4. Прогностические техники,,,,,,,,,,,
,Прогрессии (secondary),Вторичные прогрессии,Есть,,,,,,,,Любая сохранённая натальная карта с датой рождения.
,Дирекции (solar arc / zodiacal),Символические дирекции,Есть,,,,,,,,Любая сохранённая натальная карта с датой рождения.
,Солярные возвраты,Solar return + имена,Есть,,,,,,,,Любая карта с точной датой рождения; выбрать год соляра.
,Лунные / планетарные возвраты,Lunar return и пр.,Частично,,,,,,,,Карта с точной датой/временем; выбрать период возврата.
,Профекции,Годовой/месячный управитель (эллинистика),Есть,Может быть,3,,Да,Рабочий экран карты → редактор панелей/виджетов → блок “Профекции”.,"Откройте сохранённую натальную карту. В блоке должны быть возраст, годовая профекция: дом/знак/управитель, и месячная профекция.","Работает только для сохранённой карты клиента, потому что нужны дата рождения и ASC.",Любая сохранённая натальная карта с точным временем рождения и ASC.
,Zodiacal releasing / Firdaria,Традиционный тайминг,Нет,,,,,,,,Нет готового QA-примера: функция не реализована.
5. Аналитические сводки,,,,,,,,,,,
,Баланс стихий / крестов,Распределение с весами,Есть,,,,,,,,Любая сохранённая натальная карта.
,Полярности (муж/жен),Отдельный подсчёт,Частично,,,,,,,,Любая сохранённая натальная карта.
,Доминанты (планеты/знаки/дома),"Сила планет, особые роли",Есть,Может быть,3,,Да,Рабочий экран карты → редактор панелей/виджетов → блок “Доминанты”.,"Откройте блок “Доминанты”. Проверьте верхнюю строку с главной планетой/знаком/стихией/крестом, а ниже рейтинги: планеты, знаки, дома, стихии и кресты.","После последнего фикса дома выводятся отдельной строкой, а знаки переводятся на выбранный язык интерфейса.",Любая сохранённая натальная карта; лучше карта с выраженной стихией/домом для лёгкой ручной проверки.
,Дигнитеты: обитель / экзальтация / изгнание / падение,Базовые статусы,Есть,,,,,,,,"Карта, где есть планета в обители/экзальтации/изгнании/падении; например Venus in Taurus, Mars in Aries, Sun in Libra."
,Триплицитеты / термы / лица / almuten,Полные эссенциальные дигнитеты,Нет,,,,,,,,Нет готового QA-примера: полная функция не реализована.
,Sect (дневная/ночная карта),Ключевой традиционный параметр,Нет,,,,,,,,Нет готового QA-примера: функция не реализована.
,Фазы относительно Солнца (cazimi / под лучами / orient-occ),Солнечные фазы планет,Есть,Да,2,,Да,Рабочий экран карты → таблица планет; полный натальный отчёт → таблица планет.,"Откройте карту и посмотрите бейджи рядом с планетами. Для подходящих планет должны появляться cazimi, под лучами/сожжение, oriental или occidental.",Солнце и Луна не получают orient/occ бейдж; бейдж появляется только когда условие реально выполнено.,Нужна карта с планетой близко к Солнцу для cazimi/combust/under rays; для orient/occ подойдёт большинство карт с Mercury/Venus/Mars.
,Кармический анализ,Спец-аналитика продукта,Есть,,,,,,,,Любая сохранённая натальная карта.
6. Контекст карты / метаданные,,,,,,,,,,,
,Дата / время / локация рождения,Исходные данные,Есть,,,,,,,,Любой клиент/карта с заполненными birth data.
,Часовой пояс / DST / поправки,Применённые временные поправки,Частично,,,,,,,,Карта с известной локацией и timezone; лучше дата в период перехода DST.
,Рейтинг Родена (AA/A/B/C/DD) + источник,Достоверность времени рождения,Нет,,,,,,,,Нет готового QA-примера: функция не реализована.
,Активные настройки (система домов и пр.),Видимый индикатор методики,Есть,,,,,,,,Любая карта; поменять настройки и проверить индикатор/пересчёт.
,"Тропич./сидер., аянамша — индикатор",Переключатель зодиака,Есть,Да,2,,Да,Рабочий экран карты → настройки/селектор зодиака в шапке/панели настроек карты.,"Переключите Tropical/Sidereal и выберите аянамшу. После сохранения карта должна пересчитаться, а в шапке должен отображаться активный режим и аянамша для sidereal.","Сидерический режим также прокинут в прогностику: транзиты, прогрессии, дирекции и соляры считаются в одном зодиаке с картой.",Любая сохранённая натальная карта; переключить tropical/sidereal и разные ayanamsha.
7. Мульти-карта / сравнение,,,,,,,,,,,
,Синастрия (межкарточная сетка),Аспекты пары с орбами,Есть,,,,,,,,Два связанных клиента/карты с полными birth data.
,"Связь person ↔ charts, family-tags",Мультиперсонные связи,Есть,,,,,,,,Клиент с несколькими связанными персонами/картами.
,Транзиты по нескольким связанным людям (агрегат),У кого из людей важный день,Нет,,,,,,,,Нет готового QA-примера: функция не реализована.
,Композит / двойной композит,Композитные карты,Есть,Да,3,,Да,Рабочий экран карты → выбрать партнёра/связанную карту → нажать “Композит”.,"Выберите второго человека для сравнения. Нажмите “Композит”: должны появиться таблицы Midpoint и Davison. Если для Davison не хватает полной даты/времени/координат, интерфейс должен показать, что Davison недоступен.","Минимальная реализация табличная: позиции композитных планет/углов, без отдельного полноценного biwheel.","Два связанных клиента/карты; для Davison нужны полные birth_data у обоих: дата, время, координаты."
,Параллельное сравнение карт бок о бок,Натал vs транзит/прогрессия,Частично,,,,,,,,Любая карта с рассчитанным транзитом/прогрессией/дирекцией.
